1,22190,15
1,14678,15
1,14680,15
1,14681,15
1,14680,15
1,14681,15
1,8434,19
1,8045,359
1,22196,15
1,8434,19
1,9856,19
1,9885,19
1,9891,19
1,9894,19
1,22202,15
1,9904,19
1,9920,19
1,9932,19
1,10189,19
1,10198,19
1,10347,19
1,10905,19
1,10920,19
1,10924,19
1,14638,19
1,14680,15
1,8457,19
1,8477,19
1,8531,19
1,8743,19
1,8912,19
1,8915,19
1,9008,19
1,9163,19
1,9193,19
1,9196,19
1,9353,19
1,9485,19
0,75107,412
0,62951,398
0,85314,345
0,85322,345
1,22203,15
1,14681,15
1,9920,19
1,8480,19
1,22208,15
1,14680,15
1,8480,19
1,14681,15
1,14680,15
1,14681,15
1,14680,15
1,14681,15
1,14680,15
1,22209,15
1,14681,15
1,14680,15
1,14681,15
1,14680,15
1,85988,351
1,86064,351
1,85988,351
1,86079,351
1,86089,351
1,86091,351
1,85988,351
1,22210,15
1,14681,15
1,14679,15
1,22215,15
1,14680,15
1,14678,15
1,22220,15
1,14681,15
1,14680,15
1,14681,15
1,14680,15
1,22221,15
1,14681,15
1,14680,15
1,14681,15
1,14680,15
1,85988,351
1,86080,351
1,85988,351
1,86116,351
1,85988,351
1,9502,19
1,9698,19
1,9751,19
1,9753,19
1,9874,19
1,9893,19
1,9897,19
1,9920,19
1,9952,19
1,10249,19
1,10251,19
1,10350,19
1,10845,19
1,10917,19
1,11986,19
1,12171,19
1,12780,19
1,13778,19
1,14629,19
1,14681,15
1,14638,19
1,14648,19
1,14651,19
1,14653,19
1,8480,19
1,8531,19
1,8598,19
1,8923,19
1,9056,19
1,9116,19
1,9197,19
1,9199,19
1,9216,19
1,9229,19
1,9387,19
1,9411,19
1,22222,15
1,14680,15
1,14679,15
1,22227,15
1,14681,15
1,14678,15
1,14680,15
1,9920,19
1,8480,19
1,14681,15
1,8480,19
1,14680,15
1,14681,15
1,14675,207
1,14680,15
1,22232,15
1,14681,15
1,14679,15
1,22236,15
1,14680,15
1,14678,15
1,8531,19
1,8480,19
1,22240,15
1,14681,15
1,14679,15
1,13785,19
1,22244,15
1,14680,15
1,14678,15
1,14681,15
1,14680,15
1,14681,15
1,22248,15
1,14680,15
1,14681,15
1,14680,15
1,14681,15
1,22250,15
1,14680,15
1,14679,15
1,8041,359
1,14681,15
1,14680,15
1,14681,15
1,22254,15
1,14680,15
1,8531,19
1,8802,19
1,9232,19
1,9272,19
1,9871,19
1,14681,15
1,9920,19
1,9932,19
1,9935,19
1,9941,19
1,10343,19
1,10372,19
1,12302,19
1,12304,19
1,12437,19
1,22255,15
1,14680,15
1,14678,15
1,14681,15
1,14680,15
1,14681,15
1,14680,15
1,22259,15
1,14681,15
1,8063,359
1,8035,359
1,8045,359
1,14680,15
1,22260,15
1,14681,15
1,14680,15
1,14681,15
1,22261,15
1,14680,15
1,14679,15
1,22265,15
1,14681,15
1,9920,19
1,8480,19
1,22266,15
1,14680,15
1,8480,19
1,14681,15
1,14680,15
0,8465,19
0,8467,19
1,22267,15
1,14681,15
1,14680,15
1,58270,341
1,8434,19
1,14681,15
1,9920,19
1,8480,19
1,14680,15
1,8480,19
1,22270,15
1,14681,15
1,14680,15
1,14681,15
1,14680,15
1,14681,15
1,14680,15
1,22271,15
1,14681,15
1,14680,15
1,14681,15
1,14680,15
1,22272,15
1,14681,15
1,14678,15
1,8449,19
1,8457,19
1,8465,19
1,8480,19
1,8508,19
1,8531,19
1,9344,19
1,9878,19
1,9920,19
1,10920,19
1,10935,19
1,22276,15
1,14680,15
1,14681,15
1,14680,15
1,14681,15
1,22277,15
1,14680,15
1,14679,15
0,78429,287
0,94525,287
0,94506,287
0,78430,287
0,94518,287
0,78439,287
0,94493,287
0,94522,287
1,22281,15
1,14681,15
1,14678,15
1,14680,15
1,22286,15
1,14681,15
1,14680,15
1,14681,15
1,85988,351
1,86064,351
1,85988,351
1,86004,351
1,86116,351
1,86080,351
1,86096,351
1,86100,351
1,85988,351
1,14674,207
1,22287,15
1,22303,15
1,14680,15
1,14679,15
1,8069,359
